movie_ID,Series_Title,Released_Year,Rating,Runtime,Genre,Gross
DOEZ,Lola rennt,1998,UA,81 min,"Crime, Drama, Thriller","7,267,585"
TYBZ,Bonnie and Clyde,1967,A,111 min,"Action, Biography, Crime",
MRLG,The Verdict,1982,U,129 min,Drama,"54,000,000"
UNWD,Fitzcarraldo,1982,R,158 min,"Adventure, Drama",
HPVZ,Freaks,1932,,64 min,"Drama, Horror",
DMIA,Knockin' on Heaven's Door,1997,,87 min,"Action, Crime, Comedy","3,296"
VEXM,Jurassic Park,1993,UA,127 min,"Action, Adventure, Sci-Fi","402,453,882"
ZKCB,On the Waterfront,1954,A,108 min,"Crime, Drama, Thriller","9,600,000"
VFVB,Bound by Honor,1993,R,180 min,"Crime, Drama","4,496,583"
EUKE,Pink,2016,UA,136 min,"Drama, Thriller","1,241,223"
FMNY,The Bourne Supremacy,2004,A,108 min,"Action, Mystery, Thriller","176,241,941"
RMPK,Hana-bi,1997,,103 min,"Crime, Drama, Romance","233,986"
MXZG,Baby Driver,2017,UA,113 min,"Action, Crime, Drama","107,825,862"
TRJP,Life of Brian,1979,R,94 min,Comedy,"20,045,115"
NQZM,Gully Boy,2019,UA,154 min,"Drama, Music, Romance","5,566,534"
GQAC,12 Angry Men,1957,U,96 min,"Crime, Drama","4,360,000"
HFUD,Nightcrawler,2014,A,117 min,"Crime, Drama, Thriller","32,381,218"
IZJX,Midnight in Paris,2011,PG-13,96 min,"Comedy, Fantasy, Romance","56,816,662"
DGAU,Munna Bhai M.B.B.S.,2003,U,156 min,"Comedy, Drama, Musical",
FJZZ,The Last Emperor,1987,U,163 min,"Biography, Drama, History","43,984,230"
VNSE,The Hobbit: The Desolation of Smaug,2013,UA,161 min,"Adventure, Fantasy","258,366,855"
YMWE,The Manchurian Candidate,1962,PG-13,126 min,"Drama, Thriller",
FHLG,The Terminator,1984,UA,107 min,"Action, Sci-Fi","38,400,000"
CTSF,Star Trek,2009,UA,127 min,"Action, Adventure, Sci-Fi","257,730,019"
EXFY,Kumonosu-jô,1957,,110 min,"Drama, History",
DUIM,Amélie,2001,U,122 min,"Comedy, Romance","33,225,499"
ELCR,Mulan,1998,U,88 min,"Animation, Adventure, Family","120,620,254"
LCFE,Waking Life,2001,R,99 min,"Animation, Drama, Fantasy","2,892,011"
YWGV,Gisaengchung,2019,A,132 min,"Comedy, Drama, Thriller","53,367,844"
GESX,Beauty and the Beast,1991,G,84 min,"Animation, Family, Fantasy","218,967,620"
TOMS,Giant,1956,G,201 min,"Drama, Western",
LKTY,Apocalypse Now,1979,R,147 min,"Drama, Mystery, War","83,471,511"
VTDY,Ying xiong,2002,PG-13,120 min,"Action, Adventure, History","53,710,019"
UMNY,Awakenings,1990,U,121 min,"Biography, Drama","52,096,475"
QAPC,Harold and Maude,1971,PG,91 min,"Comedy, Drama, Romance",
LYRJ,Casino,1995,A,178 min,"Crime, Drama","42,438,300"
NSQO,God's Own Country,2017,,104 min,"Drama, Romance","335,609"
WFJZ,"Monsters, Inc.",2001,U,92 min,"Animation, Adventure, Comedy","289,916,256"
TIWG,Klaus,2019,PG,96 min,"Animation, Adventure, Comedy",
PFKE,Once Were Warriors,1994,A,102 min,"Crime, Drama","2,201,126"
RTIM,Once Upon a Time in the West,1968,U,165 min,Western,"5,321,508"
URCC,Indiana Jones and the Last Crusade,1989,U,127 min,"Action, Adventure","197,171,806"
JGAE,Edge of Tomorrow,2014,UA,113 min,"Action, Adventure, Sci-Fi","100,206,256"
VRMQ,Touch of Evil,1958,PG-13,95 min,"Crime, Drama, Film-Noir","2,237,659"
CMVW,Tenkû no shiro Rapyuta,1986,U,125 min,"Animation, Adventure, Drama",
VQOY,The Big Sleep,1946,Passed,114 min,"Crime, Film-Noir, Mystery","6,540,000"
CRPU,Cool Hand Luke,1967,A,127 min,"Crime, Drama","16,217,773"
ONCT,Moon,2009,R,97 min,"Drama, Mystery, Sci-Fi","5,009,677"
MHDQ,Huo Yuan Jia,2006,PG-13,104 min,"Action, Biography, Drama","24,633,730"
TTBT,Malcolm X,1992,U,202 min,"Biography, Drama, History","48,169,908"
QCFS,The Innocents,1961,A,100 min,Horror,"2,616,000"
ANSZ,The Thin Red Line,1998,A,170 min,"Drama, War","36,400,491"
AYJD,Patton,1970,U,172 min,"Biography, Drama, War","61,700,000"
BECK,Hauru no ugoku shiro,2004,U,119 min,"Animation, Adventure, Family","4,711,096"
LROL,The Green Mile,1999,A,189 min,"Crime, Drama, Fantasy","136,801,374"
ASSQ,Le scaphandre et le papillon,2007,PG-13,112 min,"Biography, Drama","5,990,075"
GJHC,Predator,1987,A,107 min,"Action, Adventure, Sci-Fi","59,735,548"
UQFE,El ángel exterminador,1962,,95 min,"Drama, Fantasy",
HWSN,Il postino,1994,U,108 min,"Biography, Comedy, Drama","21,848,932"
QTHA,Night of the Living Dead,1968,,96 min,"Horror, Thriller","89,029"
WZZU,En man som heter Ove,2015,PG-13,116 min,"Comedy, Drama, Romance","3,358,518"
JBMJ,Nelyubov,2017,R,127 min,Drama,"566,356"
TSLS,PK,2014,UA,153 min,"Comedy, Drama, Musical","10,616,104"
TNTJ,The Avengers,2012,UA,143 min,"Action, Adventure, Sci-Fi","623,279,547"
DMEM,The Truman Show,1998,U,103 min,"Comedy, Drama","125,618,201"
XBYB,Die Hard: With a Vengeance,1995,A,128 min,"Action, Adventure, Thriller","100,012,499"
DPNB,To Have and Have Not,1944,PG,100 min,"Adventure, Comedy, Film-Noir",
YYLG,Druk,2020,,117 min,"Comedy, Drama",
OVXN,Stalker,1979,U,162 min,"Drama, Sci-Fi","234,723"
OCHN,Ace in the Hole,1951,Approved,111 min,"Drama, Film-Noir","3,969,893"
TLVJ,Kagemusha,1980,U,180 min,"Drama, History, War",
RKDV,Black Swan,2010,A,108 min,"Drama, Thriller","106,954,678"
SFXB,Witness for the Prosecution,1957,U,116 min,"Crime, Drama, Mystery","8,175,000"
JDGU,Udaan,2010,UA,134 min,Drama,"7,461"
TNHL,Toy Story 2,1999,U,92 min,"Animation, Adventure, Comedy","245,852,179"
XWVQ,Viskningar och rop,1972,A,91 min,Drama,"1,742,348"
WMHE,The Gentlemen,2019,A,113 min,"Action, Comedy, Crime",
LZMG,Harry Potter and the Sorcerer's Stone,2001,U,152 min,"Adventure, Family, Fantasy","317,575,550"
LNLD,Roma,2018,R,135 min,Drama,
QCCI,Star Trek Into Darkness,2013,UA,132 min,"Action, Adventure, Sci-Fi","228,778,661"
OUKR,21 Grams,2003,UA,124 min,"Crime, Drama, Thriller","16,290,476"
ZBAO,Mary Poppins,1964,U,139 min,"Comedy, Family, Fantasy","102,272,727"
CYKW,Zelig,1983,PG,79 min,Comedy,"11,798,616"
BHKW,Blow,2001,R,124 min,"Biography, Crime, Drama","52,990,775"
NSDA,Au revoir les enfants,1987,U,104 min,"Drama, War","4,542,825"
PEAL,The Insider,1999,UA,157 min,"Biography, Drama, Thriller","28,965,197"
WQUO,Harry Potter and the Half-Blood Prince,2009,UA,153 min,"Action, Adventure, Family","301,959,197"
XYPY,Ferris Bueller's Day Off,1986,U,103 min,Comedy,"70,136,369"
TQGD,Rogue One,2016,UA,133 min,"Action, Adventure, Sci-Fi","532,177,324"
ALMM,Big Hero 6,2014,U,102 min,"Animation, Action, Adventure","222,527,828"
MJNT,Amarcord,1973,R,123 min,"Comedy, Drama, Family",
ELXD,Se7en,1995,A,127 min,"Crime, Drama, Mystery","100,125,643"
GIUL,The Usual Suspects,1995,A,106 min,"Crime, Mystery, Thriller","23,341,568"
CKDH,Fiddler on the Roof,1971,G,181 min,"Drama, Family, Musical","80,500,000"
QBSK,(500) Days of Summer,2009,UA,95 min,"Comedy, Drama, Romance","32,391,374"
XBZS,Mandariinid,2013,,87 min,"Drama, War","144,501"
RSFW,What We Do in the Shadows,2014,R,86 min,"Comedy, Horror","3,333,000"
WNXD,My Name Is Khan,2010,UA,165 min,Drama,"4,018,695"
IUXL,Paper Moon,1973,U,102 min,"Comedy, Crime, Drama","30,933,743"
KWOE,Victoria,2015,,138 min,"Crime, Drama, Romance",
ZLBE,The Muppet Christmas Carol,1992,G,85 min,"Comedy, Drama, Family","27,281,507"
NMQA,La migliore offerta,2013,R,131 min,"Crime, Drama, Mystery","85,433"
BNNK,Les yeux sans visage,1960,,90 min,"Drama, Horror","52,709"
JCTT,"Three Billboards Outside Ebbing, Missouri",2017,A,115 min,"Comedy, Crime, Drama","54,513,740"
KYJK,Groundhog Day,1993,U,101 min,"Comedy, Fantasy, Romance","70,906,973"
NCYC,Mononoke-hime,1997,U,134 min,"Animation, Action, Adventure","2,375,308"
TRNC,Deadpool,2016,R,108 min,"Action, Adventure, Comedy","363,070,709"
EEAU,La battaglia di Algeri,1966,,121 min,"Drama, War","55,908"
VYKO,El secreto de sus ojos,2009,R,129 min,"Drama, Mystery, Romance","6,391,436"
SHNL,Ordinary People,1980,U,124 min,Drama,"54,800,000"
YDDU,Gongdong gyeongbi guyeok JSA,2000,,110 min,"Action, Drama, Thriller",
ZBWN,The Blues Brothers,1980,U,133 min,"Action, Adventure, Comedy","57,229,890"
WICB,Gran Torino,2008,R,116 min,Drama,"148,095,302"
RWOC,Life of Pi,2012,U,127 min,"Adventure, Drama, Fantasy","124,987,023"
UKDM,Badhaai ho,2018,UA,124 min,"Comedy, Drama",
YBHZ,The Big Short,2015,A,130 min,"Biography, Comedy, Drama","70,259,870"
YMFX,The Shawshank Redemption,1994,A,142 min,Drama,"28,341,469"
BQFJ,Rear Window,1954,U,112 min,"Mystery, Thriller","36,764,313"
TDEL,The Wrestler,2008,UA,109 min,"Drama, Sport","26,236,603"
GOJL,Dial M for Murder,1954,A,105 min,"Crime, Thriller","12,562"
HJPN,Wreck-It Ralph,2012,U,101 min,"Animation, Adventure, Comedy","189,422,889"
BTSG,Chak De! India,2007,U,153 min,"Drama, Family, Sport","1,113,541"
NTZS,Spoorloos,1988,,107 min,"Mystery, Thriller",
VMOZ,Repulsion,1965,,105 min,"Drama, Horror, Thriller",
TCNI,Tropa de Elite,2007,R,115 min,"Action, Crime, Drama","8,060"
XRYP,The Shining,1980,A,146 min,"Drama, Horror","44,017,374"
MEYL,Shrek,2001,U,90 min,"Animation, Adventure, Comedy","267,665,011"
NRDJ,Pan's Labyrinth,2006,UA,118 min,"Drama, Fantasy, War","37,634,615"
LGMZ,Un long dimanche de fiançailles,2004,U,133 min,"Drama, Mystery, Romance","6,167,817"
OXJX,The Night of the Hunter,1955,,92 min,"Crime, Drama, Film-Noir","654,000"
MISJ,K.G.F: Chapter 1,2018,UA,156 min,"Action, Drama",
GYNR,Rocky,1976,U,120 min,"Drama, Sport","117,235,247"
AMVW,Frost/Nixon,2008,R,122 min,"Biography, Drama, History","18,593,156"
GYYR,The Princess Bride,1987,U,98 min,"Adventure, Family, Fantasy","30,857,814"
XTJE,Harry Potter and the Goblet of Fire,2005,UA,157 min,"Adventure, Family, Fantasy","290,013,036"
PXOD,Goldfinger,1964,A,110 min,"Action, Adventure, Thriller","51,081,062"
PSVZ,Dazed and Confused,1993,U,102 min,Comedy,"7,993,039"
TCYD,Ayla: The Daughter of War,2017,,125 min,"Biography, Drama, History",
UUQJ,Ran,1985,U,162 min,"Action, Drama, War","4,135,750"
FILR,The Deer Hunter,1978,A,183 min,"Drama, War","48,979,328"
DRNP,Batoru rowaiaru,2000,,114 min,"Action, Adventure, Drama",
XLHG,The Big Lebowski,1998,R,117 min,"Comedy, Crime, Sport","17,498,804"
XKSG,Sleuth,1972,PG,138 min,"Mystery, Thriller","4,081,254"
XDSM,All the President's Men,1976,U,138 min,"Biography, Drama, History","70,600,000"
IUMB,To Kill a Mockingbird,1962,U,129 min,"Crime, Drama",
MEII,Skyfall,2012,UA,143 min,"Action, Adventure, Thriller","304,360,277"
JHZX,Carlito's Way,1993,A,144 min,"Crime, Drama, Thriller","36,948,322"
JLMS,Dogville,2003,R,178 min,"Crime, Drama","1,530,386"
YKCA,Barton Fink,1991,U,116 min,"Comedy, Drama, Thriller","6,153,939"
EYVL,Haider,2014,UA,160 min,"Action, Crime, Drama","901,610"
LFZP,Anatomy of a Murder,1959,,161 min,"Crime, Drama, Mystery","11,900,000"
CVSU,Airlift,2016,UA,130 min,"Drama, History",
VIVX,The Apartment,1960,U,125 min,"Comedy, Drama, Romance","18,600,000"
NUUM,Vicky Donor,2012,UA,126 min,"Comedy, Romance","169,209"
PAJU,The Warriors,1979,UA,92 min,"Action, Crime, Thriller","22,490,039"
PTHN,Anand,1971,U,122 min,"Drama, Musical",
XDDL,The Perks of Being a Wallflower,2012,UA,103 min,"Drama, Romance","17,738,570"
RHVL,The Last Samurai,2003,UA,154 min,"Action, Drama","111,110,575"
KBEU,Dil Bechara,2020,UA,101 min,"Comedy, Drama, Romance",
SZHQ,Joyeux Noël,2005,PG-13,116 min,"Drama, History, Music","1,054,361"
RGNH,Isle of Dogs,2018,U,101 min,"Animation, Adventure, Comedy","32,015,231"
RVDL,Man on Fire,2004,UA,146 min,"Action, Crime, Drama","77,911,774"
UAWM,Les diaboliques,1955,,117 min,"Crime, Drama, Horror",
FBKZ,Edward Scissorhands,1990,U,105 min,"Drama, Fantasy, Romance","56,362,352"
SYBH,The Thin Man,1934,TV-PG,91 min,"Comedy, Crime, Mystery",
FIBC,Django Unchained,2012,A,165 min,"Drama, Western","162,805,434"
LDGN,Scarface,1983,A,170 min,"Crime, Drama","45,598,982"
GLDH,Blazing Saddles,1974,A,93 min,"Comedy, Western","119,500,000"
CCHF,Lat sau san taam,1992,R,128 min,"Action, Crime, Thriller",
DLKM,Snatch,2000,UA,104 min,"Comedy, Crime","30,328,156"
SBLG,American History X,1998,R,119 min,Drama,"6,719,864"
AZSV,Her,2013,A,126 min,"Drama, Romance, Sci-Fi","25,568,251"
HXZV,Aliens,1986,U,137 min,"Action, Adventure, Sci-Fi","85,160,248"
EIOC,Once Upon a Time in America,1984,A,229 min,"Crime, Drama","5,321,508"
GCYZ,The Girl with the Dragon Tattoo,2011,R,158 min,"Crime, Drama, Mystery","102,515,793"
BYYU,Hidden Figures,2016,UA,127 min,"Biography, Drama, History","169,607,287"
LXDX,Before Sunrise,1995,R,101 min,"Drama, Romance","5,535,405"
IWPO,The Last Picture Show,1971,R,118 min,"Drama, Romance","29,133,000"
GPIL,Close Encounters of the Third Kind,1977,U,138 min,"Drama, Sci-Fi","132,088,635"
NYQN,The Wolf of Wall Street,2013,A,180 min,"Biography, Crime, Drama","116,900,694"
AQDB,Argo,2012,A,120 min,"Biography, Drama, Thriller","136,025,503"
YFSH,Dark Waters,2019,PG-13,126 min,"Biography, Drama, History",
