Name,Role,movie_ID
Aamir Bashir,Actor,BCMU
Aamir Khan,Actor,"TSLS, SNIW, WILT, DVJA, AKGX, NHWN, NDSH, WJGV"
Aamir Khan,Director,SNIW
Aaron Eckhart,Actor,BVTW
Aaron Sorkin,Director,ULKX
Aaron Taylor-Johnson,Actor,VTEL
Abdel Ahmed Ghili,Actor,LFZU
Abdellatif Kechiche,Director,ZGMY
Abhay Deol,Actor,"OLPE, IZTU"
Abhishek Chaubey,Director,TXGW
Abhishek Kapoor,Director,PKBF
Abigail Breslin,Actor,JHVI
Abraham Attah,Actor,EHWX
Adam Baldwin,Actor,ZQAY
Adam Driver,Actor,FQHJ
Adam Elliot,Director,DHHU
Adam McKay,Director,YBHZ
Adel Bencherif,Actor,FNGW
Adesh Prasad,Actor,JCPZ
Adil Hussain,Actor,"RWOC, UORX"
Aditya Chopra,Director,XXBC
Aditya Dhar,Director,WBLH
Adolphe Menjou,Actor,THHV
Adrian Molina,Actor,HMWM
Adrien Brody,Actor,"PQXI, YIXN, QLNS"
Adèle Exarchopoulos,Actor,ZGMY
Adèle Haenel,Actor,MVKO
Agnes Moorehead,Actor,IPWC
Ahmet Mümtaz Taylan,Actor,UAPX
Ahna Capri,Actor,KJMK
Ahney Her,Actor,WICB
Aidan Gillen,Actor,NFLN
Aitana Sánchez-Gijón,Actor,DGHA
Ajay Devgn,Actor,EBWH
Ajay Naidu,Actor,OLTB
Akemi Yamaguchi,Actor,EETS
Aki Maeda,Actor,DRNP
Akihiro Miwa,Actor,BECK
Akio Ôtsuka,Actor,LDTU
Akira Ishihama,Actor,GYCD
Akira Kurosawa,Director,"VDGU, TLVJ, CIHB, GVYS, TFQV, UUQJ, EXFY, CCBG, VECC, COBI"
Akira Terao,Actor,UUQJ
Akshay Kumar,Actor,"PTSN, CVSU, PGWC, OBKT, PRCZ"
Akshaye Khanna,Actor,WILT
Al Ernest Garcia,Actor,MZBV
Al Pacino,Actor,"MRDK, PEAL, IOBP, YXGI, JHZX, KYCA, SNIN, XCCB, RVXJ, LDGN, EQAS, BPLM, DDKF"
Alain Delon,Actor,HIGI
Alain Resnais,Director,TLDZ
Alakina Mann,Actor,SSFZ
Alan Alda,Actor,TGKX
Alan Arkin,Actor,"XCCB, XXIM, AQDB"
Alan Badel,Actor,EBFZ
Alan J. Pakula,Director,XDSM
Alan Mak,Actor,XQYJ
Alan Parker,Director,"JMDS, RGBK, XZNR"
Alan Randolph Scott,Actor,YOEI
Alan Rickman,Actor,DILT
Alan Ruck,Actor,XYPY
Alan Tudyk,Actor,"TQGD, PSRE"
Albert Brooks,Actor,"ECUC, YEIV, DYQG"
Albert Finney,Actor,"TKHQ, LGJM"
Albert Rémy,Actor,PGLQ
Alberto Ammann,Actor,LUXB
Aldo Giuffrè,Actor,ERWD
Aldo Silvani,Actor,APYA
Alec Baldwin,Actor,XCCB
Alec Cawthorne,Actor,XKSG
Alec Guinness,Actor,"GTQZ, IXOP, GDTG, MDOY, MUTV"
Alec Secareanu,Actor,NSQO
Alejandro Amenábar,Director,"ETPV, FRGK, SSFZ"
Alejandro G. Iñárritu,Director,"JPZL, WQMF, UZBP, OUKR"
Alejandro Jodorowsky,Actor,PPLX
Alejandro Jodorowsky,Director,PPLX
Aleksandr Antonov,Actor,QHCG
Aleksandr Kaydanovskiy,Actor,OVXN
Aleksey Kravchenko,Actor,GJCC
Aleksey Rozin,Actor,JBMJ
Aleksey Serebryakov,Actor,SQHR
Alex Garland,Director,GICN
Alex Palmer,Actor,IAKY
Alex Proyas,Director,GTFE
Alex Sharp,Actor,ULKX
Alexander Gould,Actor,YEIV
Alexander Granach,Actor,GPTJ
Alexander Mackendrick,Director,"VNJG, MUTV"
Alexander Payne,Director,BAMY
Alexandra Maria Lara,Actor,"MHXY, KAVQ, ADNU"
Alexandre Rignault,Actor,BNNK
Alexandre Rodrigues,Actor,XZWH
Alexandre Tharaud,Actor,VMUR
Alexandru Potocean,Actor,TBEV
Alfonso Cuarón,Director,"TAEY, YPWI, DLPY, VCUW, LNLD, NGCM"
Alfonso Gomez-Rejon,Director,TZOV
Alfred Abel,Actor,MSQU
Alfred Hitchcock,Director,"FNCN, CAMB, KQPP, GFXJ, GOJL, BJYL, QASV, BQFJ, AWEI, SBTC, ACFP, CRKK, HNMA, LHBQ"
Ali Mosaffa,Actor,HCDL
Alia Bhatt,Actor,"TXGW, AEHF"
Alicia Vikander,Actor,GICN
Alida Valli,Actor,"BNNK, DTTB"
Alisa Freyndlikh,Actor,OVXN
Alison Crosbie,Actor,QCKX
Alison Doody,Actor,URCC
Alison Whelan,Actor,ARTG
Allen Garfield,Actor,VEIK
Allen Leech,Actor,ZNVM
Allison Williams,Actor,BJAX
Ally Sheedy,Actor,IKKD
Altan Erkekli,Actor,AQMN
America Ferrera,Actor,GLBU
Amir Farrokh Hashemian,Actor,HUIP
Amira Casar,Actor,WULB
Amit Ravindernath Sharma,Director,UKDM
Amit Sadh,Actor,PKBF
Amitabh Bachchan,Actor,"UQWF, PTHN, EUKE, EIZT"
Amjad Khan,Actor,EIZT
Amole Gupte,Actor,SNIW
Amrish Puri,Actor,XXBC
Amrita Puri,Actor,PKBF
Amy Adams,Actor,"DGYX, AZSV, GCBG"
Amy Poehler,Actor,"OFPU, MJEG"
Amy Ryan,Actor,"TGKX, RDPU"
Amy Smart,Actor,WJHO
Ana López Mercado,Actor,TAEY
Ana Wagener,Actor,IOWP
Ana de Armas,Actor,"AHMI, YJNL"
Anamaria Marinca,Actor,TBEV
Anand Gandhi,Actor,JCPZ
Ananda George,Actor,NULP
Anatoliy Solonitsyn,Actor,"JKVP, OVXN"
Anders Thomas Jensen,Director,ZAYD
Andie MacDowell,Actor,"UPOW, KYJK"
Andrea Eckert,Actor,LXDX
Andrea Riseborough,Actor,WQMF
Andrea Tariang,Actor,EUKE
Andreas Wilson,Actor,JRJA
Andrei Tarkovsky,Director,"JKVP, NLKF, OVXN, ZARP, TNAU"
Andrew Adamson,Director,MEYL
Andrew Adote,Actor,EHWX
Andrew Davis,Director,ZRXP
Andrew Garfield,Actor,"QTNQ, RZSA"
