movie_ID,IMDB_Rating,Overview,Meta_score,No_of_Votes
ZQAY,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,76.0,675146
WASM,7.8,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.,93.0,52852
LCFE,7.8,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.,83.0,60684
EIZT,8.2,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",,51284
XJKU,7.6,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",53.0,293266
CEOX,7.6,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",77.0,94212
VKLU,7.8,"Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles.",,57168
HSGQ,7.9,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,75.0,659763
OHXP,8.0,Story of 40-man Turkish task force who must defend a relay station.,,31838
IUXL,8.1,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",77.0,42285
WWHT,7.8,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",84.0,318789
RHVL,7.7,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,55.0,400049
UQWF,8.2,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.",,33354
BTSG,8.2,Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,68.0,74129
FIBC,8.4,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",81.0,1357682
XROC,8.8,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",82.0,1809221
NDVV,7.8,A skilled London police officer is transferred to a small town with a dark secret.,81.0,463466
ECCA,8.0,"When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer.",84.0,51046
YJUT,7.8,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.",87.0,25312
EQYX,7.8,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",83.0,124193
CXST,8.2,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",92.0,757032
IRMA,8.0,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",84.0,86838
PSVZ,7.6,The adventures of high school and junior high students on the last day of school in May 1976.,78.0,165465
JNDT,7.7,A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.,,27991
ARGK,7.7,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",65.0,645512
